"shelf","page_id","title","canonical_title_key","uri","article_type","created_at","modified_at","is_supplemental_container","repository_trace","reading_status"
"Analytical_Chemistry","374783","An Introduction to Mass Spectrometry (Van Bramer)","an introduction to mass spectrometry van bramer","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/An_Introduction_to_Mass_Spectrometry_(Van_Bramer)","topic-category","2022-05-04T14:57:10.0000000+00:00","2022-07-04T03:09:40.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","584623","Analytical Chemistry 2.1 by David Harvey","analytical chemistry 2 1 by david harvey","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Analytical_Chemistry_2.1_by_David_Harvey","topic-category","2026-08-13T17:26:20.0000000+00:00","2026-08-13T17:27:08.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","524127","Basics of Thermal Analysis (Shetty)","basics of thermal analysis shetty","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Basics_of_Thermal_Analysis_(Shetty)","topic-category","2025-06-14T04:54:52.0000000+00:00","2025-09-25T02:48:26.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","217306","Chemometrics Using R (Harvey)","chemometrics using r harvey","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Chemometrics_Using_R_(Harvey)","topic-category","2020-05-29T14:56:24.0000000+00:00","2021-09-12T15:06:29.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","352418","Crystallography in a Nutshell (Ripoll and Cano)","crystallography in a nutshell ripoll and cano","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Crystallography_in_a_Nutshell_(Ripoll_and_Cano)","topic-category","2021-10-02T17:11:22.0000000+00:00","2024-04-30T23:16:29.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","332621","Instrumental Analysis (LibreTexts)","instrumental analysis libretexts","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Instrumental_Analysis_(LibreTexts)","topic-category","2021-06-15T13:53:49.0000000+00:00","2026-01-18T01:42:39.0000000+00:00","False","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","111310","Molecular and Atomic Spectroscopy (Wenzel)","molecular and atomic spectroscopy wenzel","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Molecular_and_Atomic_Spectroscopy_(Wenzel)","topic-category","2018-10-19T01:06:47.0000000+00:00","2022-09-29T05:59:19.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","222816","Non-Isothermal Kinetic Methods (Arhangel'skii et al.)","non isothermal kinetic methods arhangel skii et al","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Non-Isothermal_Kinetic_Methods_(Arhangel'skii_et_al.)","topic-category","2020-07-01T01:55:51.0000000+00:00","2022-03-16T19:03:13.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","55670","Physical Methods in Chemistry and Nano Science (Barron)","physical methods in chemistry and nano science barron","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Physical_Methods_in_Chemistry_and_Nano_Science_(Barron)","topic-category","2016-07-13T21:44:31.0000000+00:00","2022-08-28T19:46:25.0000000+00:00","False","exact_title_or_root_trace","requires_manual_evidence_adjudication"
"Analytical_Chemistry","367675","Qualitative Analysis of Common Cations in Water (Malik)","qualitative analysis of common cations in water malik","https://chem.libretexts.org/Bookshelves/Analytical_Chemistry/Qualitative_Analysis_of_Common_Cations_in_Water_(Malik)","topic-category","2022-02-12T19:33:23.0000000+00:00","2023-05-17T18:59:56.0000000+00:00","False","no_exact_title_or_root_trace","requires_manual_evidence_adjudication"
